,date,call_arrive_time,agent_id,serve_time,type_call,type_agent,,,score_call,score_agent
330,11/1/2022,09:41:08,41,417,?,2,,,?,28.37837838
331,11/1/2022,09:41:24,55,978,?,2,,,?,36.48648649
332,11/1/2022,09:41:35,29,873,1,3,,,0.1731493,17.85714286
333,11/1/2022,09:41:47,89,2264,?,3,,,?,14.86486486
334,11/1/2022,09:41:48,11,1103,?,2,,,?,28.57142857
335,11/1/2022,09:42:08,57,58,3,3,,,0.0344008,25.71428571
336,11/1/2022,09:42:32,6,1494,?,2,,,?,30
337,11/1/2022,09:42:56,49,208,?,2,,,?,20
338,11/1/2022,09:43:03,23,1153,?,1,,,?,40.54054054
339,11/1/2022,09:43:12,70,341,?,2,,,?,27.02702703
340,11/1/2022,09:43:39,7,613,?,4,,,?,0
341,11/1/2022,09:43:49,73,316,1,2,,,0.1646738,32.85714286
342,11/1/2022,09:43:49,56,149,?,4,,,?,1.351351351
343,11/1/2022,09:44:00,8,80,?,3,,,?,0
344,11/1/2022,09:44:17,59,816,?,2,,,?,25
345,11/1/2022,09:44:30,3,1188,?,3,,,?,19.28571429
346,11/1/2022,09:44:35,46,971,?,1,,,?,39.28571429
347,11/1/2022,09:45:08,60,384,3,4,,,0.0267477,1.851851852
348,11/1/2022,09:45:20,68,72,?,1,,,?,44.44444444
349,11/1/2022,09:45:28,76,3252,1,4,,,0.1418471,9.285714286
350,11/1/2022,09:45:31,21,927,?,2,,,?,15
351,11/1/2022,09:45:32,43,918,?,3,,,?,22.14285714
352,11/1/2022,09:45:46,16,934,?,2,,,?,40
353,11/1/2022,09:45:58,0,503,?,2,,,?,30
354,11/1/2022,09:46:04,26,475,?,1,,,?,36.36363636
355,11/1/2022,09:46:05,65,525,?,2,,,?,21.62162162
356,11/1/2022,09:46:18,90,727,1,4,,,0.1424082,5
357,11/1/2022,09:46:46,10,931,2,2,,,0.0811058,29.28571429
358,11/1/2022,09:46:57,79,373,?,2,,,?,39.18918919
359,11/1/2022,09:47:16,80,1286,?,2,,,?,34.375
360,11/1/2022,09:47:16,49,84,?,2,,,?,20
361,11/1/2022,09:47:27,87,206,3,3,,,0.0510916,22.22222222
362,11/1/2022,09:48:07,57,426,1,3,,,0.1258657,25.71428571
363,11/1/2022,09:48:14,91,960,?,1,,,?,38.57142857
364,11/1/2022,09:48:26,1,789,1,4,,,0.2079666,10.71428571
365,11/1/2022,09:48:26,8,507,?,3,,,?,0
366,11/1/2022,09:48:35,78,14,?,2,,,?,40.625
367,11/1/2022,09:48:43,69,1238,3,2,,,0.0548334,31.42857143
368,11/1/2022,09:48:50,64,965,?,2,,,?,31.48148148
369,11/1/2022,09:48:54,38,186,?,3,,,?,13.51351351
370,11/1/2022,09:49:12,39,3614,?,1,,,?,44.59459459
371,11/1/2022,09:49:24,78,1147,?,2,,,?,40.625
372,11/1/2022,09:49:27,18,737,?,3,,,?,23.57142857
373,11/1/2022,09:49:33,67,211,?,1,,,?,45.94594595
374,11/1/2022,09:49:36,12,877,?,3,,,?,11.36363636
375,11/1/2022,09:49:44,31,209,3,3,,,0.0422637,22.85714286
376,11/1/2022,09:50:04,48,268,?,1,,,?,46.2962963
377,11/1/2022,09:50:16,92,346,?,?,,,?,?
378,11/1/2022,09:50:40,62,52,2,4,,,?,15.71428571
379,11/1/2022,09:51:03,34,828,1,1,,,0.1325417,46.42857143
380,11/1/2022,09:51:42,17,444,?,2,,,?,31.25
381,11/1/2022,09:51:43,93,1889,1,1,,,0.1753315,45
382,11/1/2022,09:51:43,94,1178,1,4,,,0.1684196,16.42857143
383,11/1/2022,09:51:57,2,33,?,2,,,?,29.72972973
384,11/1/2022,09:51:58,35,1144,?,1,,,?,50
385,11/1/2022,09:52:08,65,186,?,2,,,?,21.62162162
386,11/1/2022,09:52:20,33,399,?,4,,,?,2.272727273
387,11/1/2022,09:52:23,56,335,?,4,,,?,1.351351351
388,11/1/2022,09:52:26,20,75,?,3,,,?,25
389,11/1/2022,09:52:53,81,56,2,1,,,0.0944317,37.14285714
390,11/1/2022,09:52:54,85,569,2,4,,,0.0565813,5.714285714
391,11/1/2022,09:53:01,88,1533,1,3,,,0.1841759,14.81481481
392,11/1/2022,09:53:02,73,554,2,2,,,0.073981,32.85714286
393,11/1/2022,09:53:06,86,328,1,2,,,0.2248728,32.14285714
394,11/1/2022,09:53:21,95,325,1,4,,,0.1395034,2.857142857
395,11/1/2022,09:53:26,41,886,?,2,,,?,28.37837838
396,11/1/2022,09:53:50,45,26,1,2,,,0.186377,30
397,11/1/2022,09:54:03,47,359,?,3,,,?,5.405405405
398,11/1/2022,09:54:17,7,458,?,4,,,?,0
399,11/1/2022,09:55:00,63,590,?,3,,,?,29.62962963
400,11/1/2022,09:55:09,75,170,3,3,,,0.0450091,18.51851852
401,11/1/2022,09:55:19,42,1010,?,3,,,?,9.090909091
402,11/1/2022,09:55:31,67,487,?,1,,,?,45.94594595
403,11/1/2022,09:55:32,62,336,2,4,,,0.079569,15.71428571
404,11/1/2022,09:55:41,5,620,?,1,,,?,43.24324324
405,11/1/2022,09:56:04,14,256,?,2,,,?,27.27272727
406,11/1/2022,09:56:07,4,698,3,3,,,0.0546335,25
407,11/1/2022,09:56:11,31,1186,1,3,,,0.125884,22.85714286
408,11/1/2022,09:56:31,81,589,1,1,,,0.2048908,37.14285714
409,11/1/2022,09:57:04,19,764,1,1,,,0.265365,40
410,11/1/2022,09:57:13,96,53,?,4,,,?,5
411,11/1/2022,09:57:27,47,707,?,3,,,?,5.405405405
412,11/1/2022,09:57:27,23,728,?,1,,,?,40.54054054
413,11/1/2022,09:57:28,5,86,?,1,,,?,43.24324324
414,11/1/2022,09:57:29,2,79,?,2,,,?,29.72972973
